PID,AdoptionSpeed
1,4
2,2
7,4
9,4
11,3
12,2
25,4
33,2
34,4
35,2
43,2
50,4
51,4
52,2
53,4
55,4
62,4
67,2
69,4
70,4
73,2
74,4
75,2
76,3
80,4
86,2
88,4
91,2
92,4
94,4
104,3
107,2
112,2
113,4
115,2
116,2
118,4
120,4
121,3
126,2
127,4
134,4
137,2
139,2
140,4
150,4
154,4
157,4
159,2
165,4
178,3
182,4
183,3
186,2
191,4
192,4
196,2
197,4
198,3
199,2
203,4
214,3
217,2
219,2
226,4
228,2
230,4
235,2
240,2
241,3
242,2
245,4
247,2
248,2
249,3
252,3
256,4
261,2
264,4
265,3
267,4
270,4
271,4
272,2
273,4
276,4
278,2
279,2
280,2
292,2
296,4
304,4
305,2
308,4
313,4
314,4
321,4
324,4
325,3
331,2
336,4
337,4
351,4
358,4
364,4
366,3
367,4
376,2
378,4
383,2
384,4
385,3
388,2
389,2
390,4
393,3
395,4
396,2
398,2
399,2
401,2
403,4
405,2
408,4
411,4
412,2
419,3
420,2
421,2
427,4
431,2
435,2
437,2
438,4
441,4
444,4
445,4
446,4
447,4
450,2
453,4
462,4
464,2
467,2
469,3
471,2
473,2
475,4
478,2
485,2
488,2
489,4
498,4
499,4
503,4
506,4
507,2
508,2
509,4
512,2
513,4
517,3
518,1
522,4
523,2
524,2
529,2
530,2
531,2
532,4
534,2
535,4
536,2
540,3
549,4
551,4
554,4
558,4
560,3
568,4
571,4
574,2
575,2
577,4
581,3
594,2
611,1
614,2
615,4
618,4
619,2
627,2
630,2
631,2
645,2
648,2
653,2
661,4
671,2
675,3
678,2
679,4
680,3
684,2
688,4
705,3
707,2
710,4
715,2
716,2
717,2
719,4
720,2
723,4
725,2
727,3
731,2
735,2
737,4
742,4
745,2
748,2
751,2
755,2
758,2
759,4
763,2
766,2
767,2
769,4
771,2
774,2
777,2
778,4
785,4
789,4
795,2
796,2
799,2
800,2
805,4
806,4
807,4
810,4
811,2
813,2
814,2
820,2
825,2
828,3
836,2
843,4
847,3
851,4
853,2
860,4
868,4
869,2
876,4
884,3
890,2
891,4
892,2
897,2
905,2
906,2
917,2
918,2
920,4
922,2
923,4
931,2
932,4
937,2
943,2
947,2
948,2
953,2
959,1
966,4
971,2
972,3
981,2
984,4
989,4
990,2
996,4
998,2
1002,4
1003,4
1004,4
1007,2
1011,2
1012,4
1014,3
1015,1
1018,4
1022,2
1023,2
1024,4
1026,4
1027,4
1029,2
1037,4
1041,4
1044,2
1048,2
1050,4
1052,4
1053,4
1054,4
1056,4
1060,2
1061,4
1062,4
1065,2
1074,4
1079,2
1080,4
1083,4
1084,2
1088,4
1090,4
1098,4
1101,2
1102,4
1103,3
1104,4
1107,3
1110,4
1117,4
1120,4
1121,2
1122,3
1123,4
1130,4
1136,2
1140,3
1145,4
1146,4
1148,4
1149,4
1150,2
1151,4
1155,4
1157,4
1158,2
1160,2
1163,3
1165,2
1166,4
1171,4
1176,4
1178,2
1180,2
1183,4
1185,4
1189,2
1195,4
1196,2
1197,2
1198,4
1200,2
1205,2
1209,2
1213,2
1220,1
1223,4
1228,2
1230,2
1236,2
1238,4
1240,2
1241,3
1242,4
1243,4
1244,2
1248,4
1250,4
1261,4
1271,4
1272,4
1277,2
1281,2
1294,4
1299,4
1301,2
1304,2
1305,4
1306,2
1307,4
1309,2
1311,3
1313,2
1317,3
1322,2
1324,2
1327,4
